Lat,Lon,,
14.095,82.827,,
14.174,83.137,,
14.252,83.447,,
14.328,83.758,,
14.404,84.069,,
14.480,84.381,,
14.554,84.693,,
14.627,85.005,,
14.700,85.318,,
14.771,85.632,,
14.842,85.946,,
14.912,86.260,,
14.981,86.575,,
15.049,86.890,,
15.116,87.205,,
15.183,87.521,,
15.248,87.838,,
15.313,88.154,,
15.376,88.472,,
15.439,88.789,,
15.501,89.107,,
15.562,89.425,,
15.622,89.744,,
15.681,90.063,,
15.739,90.382,,
15.797,90.702,,
15.853,91.022,,
15.908,91.343,,
15.963,91.664,,
16.017,91.985,,
16.069,92.306,,
16.121,92.628,,
16.172,92.950,,
16.222,93.273,,
16.271,93.595,,
16.319,93.918,,
16.366,94.242,,
16.412,94.565,,
16.457,94.889,,
16.502,95.214,,
16.545,95.538,,
16.587,95.863,,
16.629,96.188,,
16.669,96.513,,
16.709,96.839,,
16.747,97.165,,
16.785,97.491,,
16.822,97.817,,
16.857,98.143,,
16.892,98.470,,
16.926,98.797,,
16.959,99.124,,
16.991,99.452,,
17.021,99.779,,
17.051,100.107,,
17.080,100.435,,
17.108,100.763,,
17.135,101.091,,
17.161,101.420,,
17.186,101.749,,
17.210,102.077,,
17.234,102.406,,
17.256,102.735,,
17.277,103.065,,
17.297,103.394,,
17.316,103.724,,
17.334,104.053,,
17.352,104.383,,
17.368,104.713,,
17.383,105.043,,
17.397,105.373,,
17.411,105.703,,
17.423,106.033,,
17.434,106.363,,
17.445,106.694,,
17.454,107.024,,
17.463,107.355,,
17.470,107.685,,
17.476,108.016,,
17.482,108.347,,
17.486,108.677,,
17.490,109.008,,
17.492,109.339,,
17.494,109.669,,
17.494,110.000,,
17.494,110.331,,
17.492,110.661,,
17.490,110.992,,
17.486,111.323,,
17.482,111.653,,
17.476,111.984,,
17.470,112.315,,
17.463,112.645,,
17.454,112.976,,
17.445,113.306,,
17.434,113.637,,
17.423,113.967,,
17.411,114.297,,
17.397,114.627,,
17.383,114.957,,
17.368,115.287,,
17.352,115.617,,
17.334,115.947,,
17.316,116.276,,
17.297,116.606,,
17.277,116.935,,
17.256,117.265,,
17.234,117.594,,
17.210,117.923,,
17.186,118.251,,
17.161,118.580,,
17.135,118.909,,
17.108,119.237,,
17.080,119.565,,
17.051,119.893,,
17.021,120.221,,
16.991,120.548,,
16.959,120.876,,
16.926,121.203,,
16.892,121.530,,
16.857,121.857,,
16.822,122.183,,
16.785,122.509,,
16.747,122.835,,
16.709,123.161,,
16.669,123.487,,
16.629,123.812,,
16.587,124.137,,
16.545,124.462,,
16.502,124.786,,
16.457,125.111,,
16.412,125.435,,
16.366,125.758,,
16.319,126.082,,
16.271,126.405,,
16.222,126.727,,
16.172,127.050,,
16.121,127.372,,
16.069,127.694,,
16.017,128.015,,
15.963,128.336,,
15.908,128.657,,
15.853,128.978,,
15.797,129.298,,
15.739,129.618,,
15.681,129.937,,
15.622,130.256,,
15.562,130.575,,
15.501,130.893,,
15.439,131.211,,
15.376,131.528,,
15.313,131.846,,
15.248,132.162,,
15.183,132.479,,
15.116,132.795,,
15.049,133.110,,
14.981,133.425,,
14.912,133.740,,
14.842,134.054,,
14.771,134.368,,
14.700,134.682,,
14.627,134.995,,
14.554,135.307,,
14.480,135.619,,
14.404,135.931,,
14.328,136.242,,
14.252,136.553,,
14.174,136.863,,
14.095,137.173,,
14.398,82.746,,
14.477,83.056,,
14.555,83.368,,
14.632,83.679,,
14.708,83.991,,
14.784,84.304,,
14.858,84.617,,
14.932,84.930,,
15.005,85.244,,
15.077,85.558,,
15.148,85.873,,
15.218,86.188,,
15.287,86.504,,
15.356,86.820,,
15.423,87.136,,
