#mole/g,CB05_PAR,CB05_OLE,CB05_TOL,CB05_XYL,CB05_FORM,CB05_ALD2,CB05_ETH,CB05_ISOP,CB05_MEOH,CB05_ETOH,CB05_CH4,CB05_ETHA,CB05_IOLE,CB05_ALDX,CB05_TERP,CB05_UNR,CB05_NVOL
C2H4,0,0,0,0,0,0,0.035646557,0,0,0,0,0,0,0,0,0,0
C2H4O,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C2H5OH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C2H6,0,0,0,0,0,0,0,0,0,0,0,0.033256843,0,0,0,0,0
C2H6S,0.032188496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H6,0.023764428,0.023764428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H6O,0.051653693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3H8,0.034016999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034016999,0
C4,0.035646621,0.01782331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5H8,0.04277593,0.014258643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH2O,0,0,0,0,0.033304469,0,0,0,0,0,0,0,0,0,0,0,0
CH3OH,0,0,0,0,0,0,0,0,0.031209136,0,0,0,0,0,0,0,0
CH4,0,0,0,0,0,0,0,0,0,0,0.062334424,0,0,0,0,0,0
Higher_Alkanes,0.070319617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Higher_Alkenes,0.04277593,0,0,0,0,0,0,0,0,0,0,0,0.007129322,0,0,0,0
Terpenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007340312,0,0
Toluene_lump,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
